date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:51	14290/14290	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:51%20GMT	https://tailwindcss.com/docs/controlling-file-size	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/controlling-file-size	(from https://tailwindcss.com/)
08:36:51	100219/100219	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:51%20GMT	https://tailwindcss.com/docs/using-with-preprocessors/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/using-with-preprocessors/index.html	(from https://tailwindcss.com/)
08:36:52	11161/11161	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:51%20GMT	https://tailwindcss.com/docs/browser-support	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/browser-support	(from https://tailwindcss.com/)
08:36:52	94448/94448	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:52%20GMT	https://tailwindcss.com/docs/controlling-file-size/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/controlling-file-size/index.html	(from https://tailwindcss.com/)
08:36:52	83670/83670	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:52%20GMT	https://tailwindcss.com/docs/browser-support/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/browser-support/index.html	(from https://tailwindcss.com/)
08:36:52	14008/14008	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:52%20GMT	https://tailwindcss.com/docs/utility-first	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/utility-first	(from https://tailwindcss.com/)
08:36:53	13252/13252	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:53%20GMT	https://tailwindcss.com/docs/responsive-design	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/responsive-design	(from https://tailwindcss.com/)
08:36:53	95353/95353	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:53%20GMT	https://tailwindcss.com/docs/utility-first/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/utility-first/index.html	(from https://tailwindcss.com/)
08:36:54	91479/91479	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:54%20GMT	https://tailwindcss.com/docs/responsive-design/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/responsive-design/index.html	(from https://tailwindcss.com/)
08:36:54	14083/14083	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:54%20GMT	https://tailwindcss.com/docs/pseudo-class-variants	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/pseudo-class-variants	(from https://tailwindcss.com/)
08:36:55	106041/106041	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:55%20GMT	https://tailwindcss.com/docs/pseudo-class-variants/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/pseudo-class-variants/index.html	(from https://tailwindcss.com/)
08:36:55	11357/11357	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:55%20GMT	https://tailwindcss.com/docs/adding-base-styles	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/adding-base-styles	(from https://tailwindcss.com/)
08:36:56	84179/84179	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:56%20GMT	https://tailwindcss.com/docs/adding-base-styles/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/adding-base-styles/index.html	(from https://tailwindcss.com/)
08:36:56	13633/13633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:56%20GMT	https://tailwindcss.com/docs/extracting-components	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/extracting-components	(from https://tailwindcss.com/)
08:36:57	11728/11728	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:57%20GMT	https://tailwindcss.com/docs/adding-new-utilities	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/adding-new-utilities	(from https://tailwindcss.com/)
08:36:57	96342/96342	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:57%20GMT	https://tailwindcss.com/docs/extracting-components/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/extracting-components/index.html	(from https://tailwindcss.com/)
08:36:57	12537/12537	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:57%20GMT	https://tailwindcss.com/docs/functions-and-directives	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/functions-and-directives	(from https://tailwindcss.com/)
08:36:57	87312/87312	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:57%20GMT	https://tailwindcss.com/docs/adding-new-utilities/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/adding-new-utilities/index.html	(from https://tailwindcss.com/)
08:36:58	89748/89748	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:58%20GMT	https://tailwindcss.com/docs/functions-and-directives/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/functions-and-directives/index.html	(from https://tailwindcss.com/)
08:36:58	15356/15356	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:58%20GMT	https://tailwindcss.com/docs/configuration	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/configuration	(from https://tailwindcss.com/)
08:36:59	103954/103954	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:36:59%20GMT	https://tailwindcss.com/docs/configuration/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/configuration/index.html	(from https://tailwindcss.com/)
08:36:59	14065/14065	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:36:59%20GMT	https://tailwindcss.com/docs/theme	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/theme	(from https://tailwindcss.com/)
08:37:00	11347/11347	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:00%20GMT	https://tailwindcss.com/docs/breakpoints	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/breakpoints	(from https://tailwindcss.com/)
08:37:00	97420/97420	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:00%20GMT	https://tailwindcss.com/docs/theme/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/theme/index.html	(from https://tailwindcss.com/)
08:37:01	14147/14147	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:01%20GMT	https://tailwindcss.com/docs/customizing-colors	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/customizing-colors	(from https://tailwindcss.com/)
08:37:01	85431/85431	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:01%20GMT	https://tailwindcss.com/docs/breakpoints/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/breakpoints/index.html	(from https://tailwindcss.com/)
